Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -277.7878    -277.7878       0.0000     0.0
0.0100        -278.3089    -287.8253       9.5164  1502.5
0.0200        -279.0317    -288.5287       9.4970  1499.4
0.0300        -279.7136    -288.0490       8.3354  1316.0
0.0400        -280.3215    -288.7916       8.4701  1337.3
0.0500        -280.9816    -289.1748       8.1932  1293.6
0.0600        -281.6288    -289.7829       8.1541  1287.4
0.0700        -282.1364    -289.5565       7.4201  1171.5
0.0800        -282.6180    -289.6579       7.0400  1111.5
0.0900        -283.0609    -289.4708       6.4099  1012.0
0.1000        -283.4532    -289.6581       6.2049   979.7
0.1100        -283.9067    -289.7718       5.8651   926.0
0.1200        -284.3208    -290.0296       5.7088   901.3
0.1300        -284.6967    -290.2797       5.5830   881.5
0.1400        -285.0221    -289.9738       4.9517   781.8
0.1500        -285.2987    -289.9919       4.6932   741.0
0.1600        -285.5673    -289.8434       4.2761   675.1
0.1700        -285.8456    -290.3027       4.4571   703.7
0.1800        -286.0989    -290.6474       4.5486   718.1
0.1900        -286.3293    -290.3994       4.0702   642.6
0.2000        -286.5151    -289.9490       3.4339   542.2
0.2100        -286.6642    -290.1323       3.4681   547.6
0.2200        -286.8731    -290.7175       3.8444   607.0
0.2300        -287.0790    -290.9691       3.8902   614.2
0.2400        -287.2211    -290.5494       3.3283   525.5
0.2500        -287.3560    -290.2121       2.8561   450.9
0.2600        -287.5004    -290.6155       3.1151   491.8
0.2700        -287.6085    -290.7238       3.1153   491.9
0.2800        -287.6997    -290.5436       2.8439   449.0
0.2900        -287.7925    -290.4123       2.6198   413.6
0.3000        -287.8656    -290.2529       2.3872   376.9
0.3100        -287.9300    -290.5086       2.5786   407.1
0.3200        -287.9617    -290.2852       2.3235   366.9
0.3300        -288.0302    -290.4174       2.3873   376.9
0.3400        -288.0897    -290.4408       2.3511   371.2
0.3500        -288.1096    -290.4482       2.3386   369.2
0.3600        -288.1495    -290.6555       2.5060   395.7
0.3700        -288.2163    -290.7504       2.5342   400.1
0.3800        -288.3045    -290.9487       2.6442   417.5
0.3900        -288.3528    -290.8949       2.5422   401.4
0.4000        -288.4072    -290.6723       2.2651   357.6
0.4100        -288.4512    -290.6387       2.1876   345.4
0.4200        -288.4715    -290.6114       2.1399   337.9
0.4300        -288.5022    -290.7665       2.2643   357.5
0.4400        -288.5450    -290.8839       2.3389   369.3
0.4500        -288.6030    -291.1789       2.5759   406.7
0.4600        -288.6575    -291.1694       2.5119   396.6
0.4700        -288.6987    -291.1059       2.4072   380.1
0.4800        -288.7688    -291.2063       2.4376   384.9
0.4900        -288.8193    -291.3185       2.4992   394.6
0.5000        -288.8640    -291.3239       2.4599   388.4
0.5100        -288.9277    -291.4956       2.5679   405.4
0.5200        -288.9937    -291.4397       2.4460   386.2
0.5300        -289.0459    -291.3319       2.2860   360.9
0.5400        -289.0515    -291.0927       2.0412   322.3
0.5500        -289.0816    -291.3855       2.3040   363.8
0.5600        -289.1521    -291.7617       2.6096   412.0
0.5700        -289.2268    -291.8184       2.5917   409.2
0.5800        -289.2736    -291.4741       2.2005   347.4
0.5900        -289.3041    -291.4181       2.1139   333.8
0.6000        -289.3329    -291.7079       2.3750   375.0
0.6100        -289.4154    -291.8523       2.4369   384.8
0.6200        -289.4457    -291.7588       2.3131   365.2
0.6300        -289.4899    -291.7371       2.2472   354.8
0.6400        -289.5342    -291.7323       2.1981   347.0
0.6500        -289.5625    -291.7922       2.2297   352.0
0.6600        -289.6056    -292.1438       2.5382   400.7
0.6700        -289.6762    -292.3281       2.6520   418.7
0.6800        -289.7619    -292.3302       2.5683   405.5
0.6900        -289.8146    -292.3617       2.5471   402.1
0.7000        -289.8309    -291.7951       1.9642   310.1
0.7100        -289.8642    -292.1909       2.3267   367.4
0.7200        -289.9155    -292.4019       2.4864   392.6
0.7300        -289.9625    -292.3689       2.4065   379.9
0.7400        -289.9849    -292.1662       2.1813   344.4
0.7500        -290.0227    -292.0656       2.0429   322.5
0.7600        -290.0313    -292.1518       2.1205   334.8
0.7700        -290.0439    -292.1079       2.0640   325.9
0.7800        -290.0737    -292.1527       2.0790   328.2
0.7900        -290.1165    -292.5446       2.4280   383.3
0.8000        -290.1695    -292.7917       2.6222   414.0
0.8100        -290.2526    -292.9305       2.6779   422.8
