Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -305.1077    -305.1077       0.0000     0.0
0.0100        -304.4631    -307.5490       3.0859   459.1
0.0200        -304.6105    -309.0245       4.4140   656.7
0.0300        -304.2301    -308.8765       4.6464   691.3
0.0400        -304.5983    -308.8095       4.2112   626.5
0.0500        -304.7446    -308.9352       4.1906   623.5
0.0600        -303.9117    -307.7928       3.8811   577.4
0.0700        -304.8369    -308.7708       3.9340   585.3
0.0800        -305.0691    -309.0118       3.9426   586.6
0.0900        -301.8599    -308.0235       6.1636   917.0
0.1000        -286.2911    -307.7336      21.4425  3190.1
0.1100        -294.5445    -300.2551       5.7106   849.6
0.1200         -14.0745    -297.3552     283.2807  42145.4
0.1300         -38.5437    -281.9628     243.4191  36214.9
0.1400         -61.1398    -272.3359     211.1961  31420.9
0.1500         -80.1475    -264.6978     184.5503  27456.6
0.1600         -96.8670    -249.1606     152.2936  22657.6
0.1700        -111.1912    -241.8651     130.6739  19441.1
0.1800        -123.5137    -245.0484     121.5346  18081.4
0.1900        -136.1309    -257.6891     121.5582  18084.9
0.2000        -147.7929    -262.7400     114.9471  17101.4
0.2100        -158.5909    -261.4386     102.8477  15301.3
0.2200        -168.7457    -265.2600      96.5143  14359.0
0.2300        -177.7729    -258.4751      80.7022  12006.5
0.2400        -185.5401    -257.7067      72.1666  10736.7
0.2500        -191.9364    -254.2360      62.2996  9268.7
0.2600        -198.3784    -258.9760      60.5977  9015.5
0.2700        -204.0402    -258.8165      54.7763  8149.4
0.2800        -209.1744    -259.2948      50.1204  7456.7
0.2900        -213.8894    -264.5134      50.6240  7531.6
0.3000        -218.9712    -269.9638      50.9925  7586.5
0.3100        -223.3993    -266.8602      43.4608  6465.9
0.3200        -227.4921    -269.7520      42.2598  6287.2
0.3300        -231.5815    -272.5508      40.9694  6095.3
0.3400        -235.2388    -273.2666      38.0279  5657.6
0.3500        -238.9011    -272.2336      33.3325  4959.1
0.3600        -241.5761    -269.1631      27.5870  4104.3
0.3700        -244.2903    -275.7249      31.4345  4676.7
0.3800        -247.3894    -278.5249      31.1355  4632.2
0.3900        -249.8706    -273.8476      23.9770  3567.2
0.4000        -252.1206    -272.7974      20.6768  3076.2
0.4100        -254.2626    -278.4147      24.1521  3593.2
0.4200        -256.6954    -286.2039      29.5085  4390.2
0.4300        -259.5951    -290.0208      30.4256  4526.6
0.4400        -262.2994    -289.9892      27.6897  4119.6
0.4500        -264.2169    -288.4426      24.2257  3604.2
0.4600        -266.2494    -288.3133      22.0639  3282.6
0.4700        -267.9365    -288.4889      20.5523  3057.7
0.4800        -269.8586    -290.3343      20.4757  3046.3
0.4900        -271.3845    -289.5844      18.1999  2707.7
0.5000        -273.0996    -290.8423      17.7427  2639.7
0.5100        -274.7917    -291.7002      16.9084  2515.6
0.5200        -276.0971    -291.2532      15.1562  2254.9
0.5300        -277.4960    -294.7002      17.2041  2559.6
0.5400        -278.9697    -293.9789      15.0092  2233.0
0.5500        -280.3351    -295.4648      15.1297  2250.9
0.5600        -281.5414    -293.8125      12.2711  1825.6
0.5700        -282.6980    -295.7835      13.0855  1946.8
0.5800        -283.8275    -297.4386      13.6111  2025.0
0.5900        -284.8831    -296.7140      11.8309  1760.1
0.6000        -285.7585    -296.3375      10.5789  1573.9
0.6100        -286.5801    -296.5408       9.9607  1481.9
0.6200        -287.6961    -297.7920      10.0959  1502.0
0.6300        -288.4033    -298.0617       9.6584  1436.9
0.6400        -289.2585    -300.6093      11.3508  1688.7
0.6500        -289.9687    -299.7000       9.7314  1447.8
0.6600        -290.9662    -302.7392      11.7731  1751.5
0.6700        -291.7948    -302.8586      11.0638  1646.0
0.6800        -292.7723    -304.0113      11.2390  1672.1
0.6900        -293.5299    -302.2321       8.7022  1294.7
0.7000        -294.2340    -303.6790       9.4450  1405.2
0.7100        -295.0068    -303.6497       8.6429  1285.9
0.7200        -295.6720    -303.9420       8.2701  1230.4
0.7300        -296.1879    -304.8115       8.6236  1283.0
0.7400        -296.9611    -305.5803       8.6192  1282.3
0.7500        -297.5837    -305.8893       8.3056  1235.7
0.7600        -298.2201    -306.1557       7.9356  1180.6
0.7700        -299.0041    -307.4981       8.4940  1263.7
0.7800        -299.7231    -308.8952       9.1721  1364.6
0.7900        -300.4400    -311.0882      10.6482  1584.2
0.8000        -301.1056    -308.9425       7.8370  1166.0
0.8100        -301.6526    -309.9307       8.2781  1231.6
0.8200        -302.2341    -309.4067       7.1726  1067.1
0.8300        -302.7299    -309.8987       7.1688  1066.5
0.8400        -303.2094    -309.8686       6.6592   990.7
0.8500        -303.6930    -311.0711       7.3781  1097.7
0.8600        -304.2393    -312.0602       7.8209  1163.6
0.8700        -304.7173    -311.9080       7.1907  1069.8
0.8800        -305.1882    -311.5289       6.3407   943.3
0.8900        -305.5998    -311.1160       5.5162   820.7
0.9000        -305.9766    -312.2510       6.2745   933.5
0.9100        -306.3488    -311.9140       5.5652   828.0
0.9200        -306.7030    -312.2922       5.5891   831.5
0.9300        -306.9940    -311.5052       4.5112   671.2
0.9400        -307.3032    -312.9820       5.6788   844.9
0.9500        -307.6733    -312.9706       5.2974   788.1
0.9600        -308.0134    -312.9601       4.9467   735.9
0.9700        -308.3008    -313.3653       5.0645   753.5
0.9800        -308.6222    -313.8233       5.2011   773.8
0.9900        -308.9219    -313.4771       4.5553   677.7
1.0000        -309.2081    -314.5710       5.3629   797.9
1.0100        -309.5419    -314.5672       5.0252   747.6
1.0200        -309.8944    -315.8929       5.9986   892.4
1.0300        -310.2558    -315.4693       5.2135   775.6
1.0400        -310.5771    -315.7682       5.1911   772.3
1.0500        -310.8427    -314.9795       4.1368   615.5
1.0600        -311.0321    -314.8957       3.8636   574.8
1.0700        -311.2532    -315.3567       4.1035   610.5
1.0800        -311.4480    -315.2917       3.8437   571.9
1.0900        -311.6600    -315.5224       3.8624   574.6
1.1000        -311.8590    -315.5327       3.6737   546.6
1.1100        -312.0112    -315.8048       3.7936   564.4
1.1200        -312.1418    -315.7018       3.5600   529.6
1.1300        -312.3087    -315.8244       3.5157   523.1
1.1400        -312.4586    -315.8421       3.3835   503.4
1.1500        -312.5591    -315.9205       3.3615   500.1
1.1600        -312.7045    -316.4172       3.7127   552.4
1.1700        -312.8594    -316.4609       3.6015   535.8
1.1800        -313.0103    -316.2822       3.2719   486.8
1.1900        -313.1035    -316.2675       3.1640   470.7
1.2000        -313.2301    -316.5799       3.3498   498.4
1.2100        -313.3571    -316.8666       3.5095   522.1
1.2200        -313.5219    -317.1306       3.6087   536.9
1.2300        -313.6417    -316.7587       3.1170   463.7
1.2400        -313.7796    -317.0725       3.2929   489.9
1.2500        -313.8897    -317.0713       3.1817   473.4
1.2600        -313.9952    -316.9745       2.9793   443.3
1.2700        -314.0918    -317.0547       2.9628   440.8
1.2800        -314.1850    -317.4984       3.3134   493.0
