Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -316.0385    -316.0385       0.0000     0.0
0.0100        -317.0610    -337.2033      20.1423  2686.7
0.0200        -318.7369    -335.6613      16.9245  2257.5
0.0300        -320.2718    -337.3026      17.0308  2271.7
0.0400        -321.6693    -337.7243      16.0550  2141.5
0.0500        -323.0203    -339.1236      16.1033  2147.9
0.0600        -324.2804    -338.9733      14.6930  1959.8
0.0700        -325.3112    -338.8087      13.4975  1800.4
0.0800        -326.3889    -339.6973      13.3084  1775.2
0.0900        -327.5033    -340.3074      12.8041  1707.9
0.1000        -328.5731    -341.7900      13.2169  1762.9
0.1100        -329.7045    -342.2197      12.5152  1669.3
0.1200        -330.6850    -342.5694      11.8844  1585.2
0.1300        -331.7056    -343.6891      11.9835  1598.4
0.1400        -332.6521    -342.9547      10.3026  1374.2
0.1500        -333.4595    -343.5078      10.0483  1340.3
0.1600        -334.2237    -343.6045       9.3808  1251.3
0.1700        -334.9135    -343.9369       9.0233  1203.6
0.1800        -335.5159    -343.6271       8.1112  1081.9
0.1900        -336.0550    -343.7792       7.7242  1030.3
0.2000        -336.5230    -343.9453       7.4222   990.0
0.2100        -336.9983    -344.7148       7.7166  1029.3
0.2200        -337.4483    -343.9493       6.5010   867.1
0.2300        -337.9330    -345.9621       8.0291  1071.0
0.2400        -338.4816    -346.0163       7.5347  1005.0
0.2500        -339.0285    -346.1180       7.0895   945.6
0.2600        -339.4713    -345.2139       5.7426   766.0
0.2700        -339.8275    -344.8312       5.0037   667.4
0.2800        -340.1708    -345.3716       5.2008   693.7
0.2900        -340.4949    -345.9263       5.4313   724.5
0.3000        -340.7389    -345.9908       5.2519   700.5
0.3100        -341.1047    -346.5931       5.4884   732.1
0.3200        -341.4953    -347.4299       5.9346   791.6
0.3300        -341.8074    -346.9917       5.1843   691.5
0.3400        -342.0580    -347.3979       5.3399   712.3
0.3500        -342.4268    -347.9739       5.5471   739.9
0.3600        -342.7657    -347.8328       5.0671   675.9
0.3700        -343.0409    -347.8689       4.8280   644.0
0.3800        -343.2515    -347.7433       4.4918   599.1
0.3900        -343.4896    -348.2686       4.7790   637.4
0.4000        -343.7108    -348.0555       4.3448   579.5
0.4100        -343.9554    -348.5594       4.6040   614.1
0.4200        -344.2301    -349.1406       4.9105   655.0
0.4300        -344.5038    -349.2247       4.7209   629.7
0.4400        -344.7484    -349.6032       4.8548   647.6
0.4500        -344.9774    -350.1807       5.2033   694.0
0.4600        -345.2810    -350.4922       5.2112   695.1
0.4700        -345.5308    -350.0088       4.4780   597.3
0.4800        -345.6859    -349.3957       3.7097   494.8
0.4900        -345.8673    -349.7619       3.8946   519.5
0.5000        -346.0095    -349.8304       3.8210   509.7
0.5100        -346.1616    -350.0448       3.8833   518.0
0.5200        -346.2894    -349.8531       3.5637   475.3
0.5300        -346.4770    -350.6195       4.1425   552.5
0.5400        -346.5759    -350.7481       4.1722   556.5
0.5500        -346.8402    -351.6812       4.8411   645.7
0.5600        -347.0515    -351.5236       4.4721   596.5
0.5700        -347.2320    -351.4166       4.1846   558.2
0.5800        -347.4001    -351.2561       3.8560   514.3
0.5900        -347.5259    -351.4116       3.8857   518.3
