Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -273.4708    -273.4708       0.0000     0.0
0.0100        -273.3849    -274.3356       0.9507   175.1
0.0200        -273.3365    -274.5142       1.1777   216.9
0.0300        -273.2929    -274.6255       1.3326   245.5
0.0400        -273.2514    -274.4920       1.2406   228.5
0.0500        -273.2197    -274.5904       1.3707   252.5
0.0600        -273.1897    -274.6072       1.4175   261.1
0.0700        -273.1634    -274.4227       1.2593   232.0
0.0800        -273.1295    -274.5101       1.3806   254.3
0.0900        -273.0994    -274.4344       1.3350   245.9
0.1000        -273.0797    -274.4471       1.3674   251.9
0.1100        -273.0621    -274.4784       1.4163   260.9
0.1200        -273.0358    -274.4104       1.3746   253.2
0.1300        -273.0205    -274.4523       1.4318   263.7
0.1400        -272.9980    -274.3639       1.3659   251.6
0.1500        -272.9673    -274.3435       1.3762   253.5
0.1600        -272.9246    -274.0359       1.1112   204.7
0.1700        -272.8855    -274.2115       1.3260   244.3
0.1800        -272.8593    -274.3394       1.4801   272.6
0.1900        -272.8341    -274.2554       1.4213   261.8
0.2000        -272.8197    -274.3908       1.5710   289.4
0.2100        -272.8104    -274.2163       1.4059   259.0
0.2200        -272.7978    -274.4120       1.6142   297.3
0.2300        -272.7756    -274.1668       1.3912   256.3
0.2400        -272.7664    -274.2033       1.4369   264.7
0.2500        -272.7475    -274.3163       1.5688   289.0
0.2600        -272.7433    -274.1728       1.4296   263.3
0.2700        -272.7131    -274.2015       1.4884   274.2
0.2800        -272.7074    -274.2753       1.5679   288.8
0.2900        -272.6956    -274.2509       1.5554   286.5
0.3000        -272.6947    -274.1863       1.4915   274.7
0.3100        -272.6793    -274.1902       1.5109   278.3
0.3200        -272.6778    -274.3472       1.6694   307.5
0.3300        -272.6563    -274.0164       1.3601   250.5
0.3400        -272.6544    -274.3174       1.6630   306.3
0.3500        -272.6510    -274.2267       1.5757   290.2
0.3600        -272.6714    -274.5992       1.9278   355.1
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -272.6497    -274.1447       1.4950   275.4
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0100        -272.6386    -274.2100       1.5714   289.4
0.0200        -272.6275    -274.1524       1.5249   280.9
0.0300        -272.6303    -274.3322       1.7019   313.5
0.0400        -272.6312    -274.3084       1.6772   308.9
0.0500        -272.6304    -274.2526       1.6222   298.8
0.0600        -272.6167    -274.1032       1.4866   273.8
0.0700        -272.6085    -273.9317       1.3232   243.7
0.0800        -272.5897    -274.0658       1.4761   271.9
0.0900        -272.5849    -274.1660       1.5812   291.2
0.1000        -272.5731    -274.0623       1.4892   274.3
0.1100        -272.5475    -273.9356       1.3881   255.7
0.1200        -272.5416    -274.0704       1.5288   281.6
0.1300        -272.5468    -274.1684       1.6216   298.7
0.1400        -272.5518    -274.2147       1.6628   306.3
0.1500        -272.5357    -274.1722       1.6366   301.5
0.1600        -272.5448    -274.2007       1.6559   305.0
0.1700        -272.5377    -274.1056       1.5679   288.8
0.1800        -272.5398    -274.0946       1.5547   286.4
0.1900        -272.5438    -274.2188       1.6750   308.5
0.2000        -272.5303    -273.9324       1.4020   258.3
0.2100        -272.5203    -274.1613       1.6411   302.3
0.2200        -272.5086    -273.9748       1.4663   270.1
0.2300        -272.5094    -274.2485       1.7392   320.4
0.2400        -272.5108    -274.0493       1.5385   283.4
0.2500        -272.5127    -274.3950       1.8823   346.7
