Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -96.0364     -96.0364       0.0000     0.0
0.0500        -139.3658    -207.0710      67.7052  12471.2
0.1000        -167.7098    -221.9890      54.2792  9998.2
0.1500        -187.7375    -224.1585      36.4211  6708.7
0.2000        -200.7306    -233.5291      32.7985  6041.4
0.2500        -213.4875    -233.7498      20.2622  3732.3
0.3000        -224.4699    -245.4520      20.9820  3864.9
0.3500        -233.1880    -248.4147      15.2267  2804.7
0.4000        -240.2724    -253.4168      13.1444  2421.2
0.4500        -246.2524    -259.4415      13.1890  2429.4
0.5000        -251.0598    -261.1956      10.1358  1867.0
0.5500        -255.1362    -262.9012       7.7651  1430.3
0.6000        -257.8335    -263.7044       5.8710  1081.4
0.6500        -260.3877    -267.3914       7.0037  1290.1
0.7000        -262.3623    -267.9674       5.6051  1032.5
0.7500        -263.9209    -268.7923       4.8714   897.3
0.8000        -265.2862    -269.0812       3.7950   699.0
0.8500        -266.2830    -269.8293       3.5463   653.2
0.9000        -266.9254    -269.7617       2.8363   522.4
0.9500        -267.5399    -270.3675       2.8276   520.8
1.0000        -268.0553    -270.8354       2.7802   512.1
