time_ps,close_pairs,min_distance,mean_distance
0.000000,9,2.997675,4.599771
0.010000,8,3.013062,4.601013
0.020000,8,3.045626,4.606516
0.030000,9,3.092669,4.654285
0.040000,9,3.100719,4.539623
0.050000,8,3.078489,4.533097
0.060000,8,3.032612,4.526275
0.070000,8,2.973269,4.520683
0.080000,8,2.940101,4.513186
0.090000,9,2.959427,4.333624
0.100000,9,2.912077,4.328218
0.110000,9,2.884498,4.332279
0.120000,9,2.920980,4.336697
0.130000,9,2.929832,4.371532
0.140000,10,2.928116,4.413598
0.150000,10,2.957956,4.833024
0.160000,10,2.950734,4.591930
0.170000,8,2.879179,4.633254
0.180000,9,2.844439,4.601462
0.190000,8,2.858338,4.603429
0.200000,7,2.836834,4.564356
0.210000,6,2.805608,4.562215
0.220000,9,2.819155,4.380207
0.230000,9,2.823287,4.376273
0.240000,10,2.787092,4.168001
0.250000,9,2.796545,4.373015
0.260000,9,2.855471,4.374841
0.270000,9,2.884293,4.380327
0.280000,9,2.905553,4.347962
0.290000,10,2.954376,4.348443
0.300000,10,2.978704,4.349262
0.310000,10,2.968743,4.350559
0.320000,10,2.988716,4.388212
0.330000,10,3.045057,4.386936
0.340000,10,3.029216,4.383848
0.350000,12,2.958135,4.166905
0.360000,11,2.960592,4.336399
0.370000,11,3.020205,4.335571
0.380000,11,2.977412,4.337842
0.390000,11,2.915577,4.339367
0.400000,11,2.877533,4.344034
0.410000,11,2.843425,4.353054
0.420000,12,2.822694,4.358938
0.430000,11,2.838668,4.358343
0.440000,11,2.852366,4.359520
0.450000,10,2.852233,4.364246
0.460000,10,2.879029,4.366016
0.470000,9,2.933946,4.362914
0.480000,7,2.972999,4.571212
0.490000,7,3.006485,4.534449
0.500000,7,2.951811,4.526277
0.510000,7,2.921575,4.519475
0.520000,7,2.954199,4.434649
0.530000,7,2.940858,4.434663
0.540000,8,2.940959,4.269051
0.550000,8,2.938674,4.299466
0.560000,6,2.970379,4.429274
0.570000,6,3.012405,4.423176
0.580000,6,3.018651,4.418782
0.590000,6,2.967925,4.452374
0.600000,6,2.938932,4.413455
0.610000,6,2.905416,4.414194
0.620000,6,2.834859,4.420742
0.630000,6,2.787960,4.424782
0.640000,6,2.809932,4.422155
0.650000,7,2.829320,4.210856
0.660000,8,2.820908,4.211331
0.670000,8,2.849257,4.216958
0.680000,8,2.906950,4.220445
0.690000,8,2.925634,4.223270
0.700000,8,2.933104,4.307772
0.710000,8,2.982334,4.309609
0.720000,7,3.018439,4.523284
0.730000,7,3.001820,4.526515
0.740000,7,3.012566,4.533345
0.750000,7,3.052977,4.539651
0.760000,7,3.048331,4.658642
0.770000,8,3.036685,4.445523
0.780000,9,3.059945,4.266876
0.790000,9,3.034553,4.443215
0.800000,10,3.050434,4.245665
0.810000,10,3.030288,4.232113
0.820000,9,3.029803,4.402673
0.830000,9,2.988639,4.396726
0.840000,10,2.917252,4.213568
0.850000,10,2.891417,4.213095
0.860000,9,2.877254,4.426940
0.870000,9,2.854292,4.434464
0.880000,9,2.881690,4.442586
0.890000,10,2.984851,4.452352
0.900000,10,3.055055,4.494881
0.910000,10,3.077371,4.588526
0.920000,10,3.082428,4.581767
0.930000,10,3.087882,4.574816
0.940000,10,3.056416,4.568173
0.950000,10,3.054865,4.562017
0.960000,10,3.030613,4.442106
0.970000,10,2.980661,4.434848
0.980000,9,2.895048,4.434805
0.990000,10,2.837247,4.436521
1.000000,10,2.823305,4.437368
1.010000,8,2.804506,4.439122
1.020000,8,2.812388,4.375008
1.030000,7,2.862498,4.549700
1.040000,6,2.890116,4.702828
1.050000,6,2.870691,4.707762
1.060000,6,2.863112,4.642300
1.070000,8,2.864188,4.462867
1.080000,8,2.831776,4.462275
