time_ps,si_0_cn,si_1_cn,si_2_cn
0.000000,4,4,4
0.010000,4,4,4
0.020000,4,4,4
0.030000,4,4,4
0.040000,4,4,4
0.050000,4,4,4
0.060000,4,4,4
0.070000,4,4,4
0.080000,4,4,4
0.090000,4,4,4
0.100000,4,4,4
0.110000,4,4,4
0.120000,4,4,4
0.130000,4,4,4
0.140000,4,4,4
0.150000,4,4,4
0.160000,4,4,4
0.170000,4,4,4
0.180000,4,4,4
0.190000,4,4,4
0.200000,4,4,4
0.210000,4,4,4
0.220000,4,4,4
0.230000,4,4,4
0.240000,4,4,4
0.250000,4,4,4
0.260000,4,4,4
0.270000,4,4,4
0.280000,4,4,4
0.290000,4,4,4
0.300000,4,4,4
0.310000,4,4,4
0.320000,4,4,4
0.330000,4,4,4
0.340000,4,4,4
0.350000,4,4,4
0.360000,4,4,4
0.370000,4,4,4
0.380000,4,4,4
0.390000,4,4,4
0.400000,4,4,4
0.410000,4,4,4
0.420000,4,4,4
0.430000,4,4,4
0.440000,4,4,4
0.450000,4,4,4
0.460000,4,4,4
0.470000,4,4,4
0.480000,4,4,4
0.490000,4,4,4
0.500000,4,4,4
0.510000,4,4,4
0.520000,4,4,4
0.530000,4,4,4
0.540000,4,4,4
0.550000,4,4,4
0.560000,4,4,4
0.570000,4,4,4
0.580000,4,4,4
0.590000,4,4,4
0.600000,4,4,4
0.610000,4,4,4
0.620000,4,4,4
0.630000,4,4,4
0.640000,4,4,4
0.650000,4,4,4
0.660000,4,4,4
0.670000,4,4,4
0.680000,4,4,4
0.690000,4,4,4
0.700000,4,4,4
0.710000,4,4,4
0.720000,4,4,4
0.730000,4,4,4
0.740000,4,4,4
0.750000,4,4,4
0.760000,4,4,4
0.770000,4,4,4
0.780000,4,4,4
0.790000,4,4,4
0.800000,4,4,4
0.810000,4,4,4
0.820000,4,4,4
0.830000,4,4,4
0.840000,4,4,4
0.850000,4,4,4
0.860000,4,4,4
0.870000,4,4,4
0.880000,4,4,4
0.890000,4,4,4
0.900000,4,4,4
0.910000,4,4,4
0.920000,4,4,4
0.930000,4,4,4
0.940000,4,4,4
0.950000,4,4,4
0.960000,4,4,4
0.970000,4,4,4
0.980000,4,4,4
0.990000,4,4,4
1.000000,4,4,4
1.010000,4,4,4
1.020000,4,4,4
1.030000,4,4,4
1.040000,4,4,4
1.050000,4,4,4
1.060000,4,4,4
1.070000,4,4,4
1.080000,4,4,4
1.090000,4,4,4
1.100000,4,4,4
1.110000,4,4,4
1.120000,4,4,4
1.130000,4,4,4
1.140000,4,4,4
1.150000,4,4,4
1.160000,4,4,4
1.170000,4,4,4
1.180000,4,4,4
1.190000,4,4,4
1.200000,4,4,4
1.210000,4,4,4
1.220000,4,4,4
1.230000,4,4,4
1.240000,4,4,4
1.250000,4,4,4
1.260000,4,4,4
1.270000,4,4,4
1.280000,4,4,4
1.290000,4,4,4
1.300000,4,4,4
1.310000,4,4,4
1.320000,4,4,4
1.330000,4,4,4
1.340000,4,4,4
1.350000,4,4,4
1.360000,4,4,4
1.370000,4,4,4
1.380000,4,4,4
1.390000,4,4,4
1.400000,4,4,4
1.410000,4,4,4
1.420000,4,4,4
1.430000,4,4,4
1.440000,4,4,4
1.450000,4,4,4
1.460000,4,4,4
1.470000,4,4,4
1.480000,4,4,4
1.490000,4,4,4
1.500000,4,4,4
1.510000,4,4,4
1.520000,4,4,4
1.530000,4,4,4
1.540000,4,4,4
1.550000,4,4,4
1.560000,4,4,4
1.570000,4,4,4
1.580000,4,4,4
1.590000,4,4,4
1.600000,4,4,4
1.610000,4,4,4
1.620000,4,4,4
1.630000,4,4,4
1.640000,4,4,4
1.650000,4,4,4
1.660000,4,4,4
1.670000,4,4,4
1.680000,4,4,4
1.690000,4,4,4
1.700000,4,4,4
1.710000,4,4,4
1.720000,4,4,4
1.730000,4,4,4
1.740000,4,4,4
1.750000,4,4,4
1.760000,4,4,4
1.770000,4,4,4
1.780000,4,4,4
1.790000,4,4,4
1.800000,4,4,4
1.810000,4,4,4
1.820000,4,4,4
1.830000,4,4,4
1.840000,4,4,4
1.850000,4,4,4
1.860000,4,4,4
1.870000,4,4,4
1.880000,4,4,4
1.890000,4,4,4
1.900000,4,4,4
1.910000,4,4,4
1.920000,4,4,4
1.930000,4,4,4
1.940000,4,4,4
1.950000,4,4,4
1.960000,4,4,4
1.970000,4,4,4
1.980000,4,4,4
1.990000,4,4,4
2.000000,4,4,4
